caldt,mkt,ewmkt
1927-07-01,0.00677267,0.00716825
1927-07-02,0.00560399,0.00660535
1927-07-05,0.00845175,0.00638116
1927-07-06,0.00617351,0.00987469
1927-07-07,-0.00233374,0.000696788
1927-07-08,-0.00161106,-0.00297526
1927-07-09,0.00178125,0.00221092
1927-07-11,0.00415293,0.00174797
1927-07-12,0.00338747,0.00363235
1927-07-13,0.00270604,0.0027529
1927-07-14,0.00418079,0.00213619
1927-07-15,0.00270623,0.00407138
1927-07-16,0.0017774,0.00455825
1927-07-18,0.00192954,0.00100815
1927-07-19,0.00280301,0.00249969
1927-07-20,0.00443709,0.00366134
1927-07-21,-0.000374259,0.00106811
1927-07-22,-0.000450822,-0.0012302
1927-07-23,0.0019199,0.00260347
1927-07-25,0.00424622,0.00424552
1927-07-26,0.00256719,-0.00039291
1927-07-27,0.000732105,-0.00252484
1927-07-28,0.00145121,-0.000412792
1927-07-29,0.00467499,0.00400127
1927-07-30,0.00499531,0.003223
1927-08-01,0.00583171,0.00656861
1927-08-02,0.00635355,0.00380002
1927-08-03,-0.00651138,-0.00309624
1927-08-04,0.00930873,0.00701324
1927-08-05,-0.00607568,-0.00342072
1927-08-06,-0.00100188,0.000109562
1927-08-08,-0.0106092,-0.0105167
1927-08-09,0.00951777,0.00831589
1927-08-10,0.00252081,0.00315652
1927-08-11,-0.0100695,-0.00971152
1927-08-12,-0.0154973,-0.0207522
1927-08-13,0.00909061,0.00925655
1927-08-15,0.0126563,0.0130901
1927-08-16,0.0061664,0.00708547
1927-08-17,0.00309276,0.00489059
1927-08-18,0.000592616,-0.000739549
1927-08-19,0.00164108,0.000444219
1927-08-20,0.00358674,0.0046338
1927-08-22,0.00354671,0.00235133
1927-08-23,0.000690648,0.000817265
1927-08-24,0.00193856,0.00327055
1927-08-25,0.00030287,-0.0021442
1927-08-26,0.00241518,-0.00102901
1927-08-27,-0.00117284,-0.00054451
1927-08-29,-0.000204791,-0.00123728
1927-08-30,-0.000204451,-0.00221265
1927-08-31,-0.00462428,-0.00537606
1927-09-01,0.00795506,0.00695546
1927-09-02,0.00582026,0.00588908
1927-09-03,0.0051004,0.00650365
1927-09-06,0.00897777,0.00833028
1927-09-07,0.00449188,0.00519999
1927-09-08,0.000211503,0.00221253
1927-09-09,-0.00630722,-0.0065314
1927-09-10,0.00437322,0.00586386
1927-09-12,-0.00355655,-0.00431717
1927-09-13,0.0129122,0.00891013
1927-09-14,0.00309895,0.00128116
1927-09-15,0.0025295,-0.000119692
1927-09-16,0.000836271,-0.000539429
1927-09-17,-0.0026989,-0.00266529
1927-09-19,-0.0031376,-0.0050973
1927-09-20,0.00572767,0.0080779
